timestamp,action,position_id,direction,position_size,entry_spread,entry_flx_bid,entry_flx_ask,entry_xyz_bid,entry_xyz_ask,exit_spread,exit_flx_bid,exit_flx_ask,exit_xyz_bid,exit_xyz_ask,exit_method,holding_seconds,realized_pnl,notes
2025-12-01 16:03:54,OPEN,XYZ_TO_FLX_20251201160354,XYZ_TO_FLX,100,0.4300,426.12,426.18,425.56,425.69,,,,,,,,,DRY-RUN模拟交易
2025-12-02 09:10:10,OPEN,FLX_TO_XYZ_20251202091010,FLX_TO_XYZ,100,0.3600,428.70,428.77,429.13,429.32,,,,,,,,,DRY-RUN模拟交易
2025-12-02 09:20:05,CLOSE,FLX_TO_XYZ_20251202091010,FLX_TO_XYZ,100,0.3600,428.70,428.77,429.13,429.32,-0.6500,429.46,429.67,429.02,429.24,reversal,595,0.1942,DRY-RUN模拟交易
2025-12-02 10:01:10,OPEN,XYZ_TO_FLX_20251202100110,XYZ_TO_FLX,100,0.3700,429.46,429.48,428.91,429.09,,,,,,,,,DRY-RUN模拟交易
2025-12-02 10:12:40,OPEN,XYZ_TO_FLX_20251202101240,XYZ_TO_FLX,100,0.6100,429.44,429.45,428.74,428.83,,,,,,,,,DRY-RUN模拟交易
2025-12-02 10:45:03,CLOSE,XYZ_TO_FLX_20251202100110,XYZ_TO_FLX,100,0.3700,429.46,429.48,428.91,429.09,-0.3400,429.01,429.04,429.25,429.35,reversal,2633,0.1843,DRY-RUN模拟交易
2025-12-02 10:45:03,CLOSE,XYZ_TO_FLX_20251202101240,XYZ_TO_FLX,100,0.6100,429.44,429.45,428.74,428.83,-0.3400,429.01,429.04,429.25,429.35,reversal,1943,0.1843,DRY-RUN模拟交易
2025-12-02 10:48:53,OPEN,FLX_TO_XYZ_20251202104853,FLX_TO_XYZ,100,0.3900,429.03,429.04,429.43,429.49,,,,,,,,,DRY-RUN模拟交易
2025-12-02 12:16:18,CLOSE,FLX_TO_XYZ_20251202104853,FLX_TO_XYZ,100,0.3900,429.03,429.04,429.43,429.49,-0.3900,429.02,429.03,428.64,428.71,reversal,5245,0.2843,DRY-RUN模拟交易
2025-12-02 12:18:37,OPEN,XYZ_TO_FLX_20251202121837,XYZ_TO_FLX,100,0.3300,429.02,429.03,428.67,428.69,,,,,,,,,DRY-RUN模拟交易
2025-12-02 15:18:38,CLOSE,XYZ_TO_FLX_20251202121837,XYZ_TO_FLX,100,0.3300,429.02,429.03,428.67,428.69,0.0000,428.67,428.68,428.66,428.67,timeout,10802,-0.3557,DRY-RUN模拟交易
2025-12-02 16:59:18,OPEN,FLX_TO_XYZ_20251202165918,FLX_TO_XYZ,100,0.2900,428.81,428.82,429.11,429.28,,,,,,,,,DRY-RUN模拟交易
2025-12-02 18:29:21,CLOSE,FLX_TO_XYZ_20251202165918,FLX_TO_XYZ,100,0.2900,428.81,428.82,429.11,429.28,0.0900,431.09,431.13,431.22,431.28,timeout,5402,-0.2259,DRY-RUN模拟交易
2025-12-02 19:41:44,OPEN,FLX_TO_XYZ_20251202194144,FLX_TO_XYZ,100,0.2100,431.64,431.71,431.92,431.94,,,,,,,,,DRY-RUN模拟交易
2025-12-02 21:11:45,CLOSE,FLX_TO_XYZ_20251202194144,FLX_TO_XYZ,100,0.2100,431.64,431.71,431.92,431.94,-0.0200,431.83,431.84,431.82,431.95,timeout,5401,-0.2559,DRY-RUN模拟交易
2025-12-02 21:22:12,OPEN,FLX_TO_XYZ_20251202212212,FLX_TO_XYZ,100,0.2200,432.07,432.15,432.37,432.38,,,,,,,,,DRY-RUN模拟交易
2025-12-02 22:35:20,CLOSE,FLX_TO_XYZ_20251202212212,FLX_TO_XYZ,100,0.2200,432.07,432.15,432.37,432.38,-0.5700,430.43,430.45,429.88,430.21,reversal,4389,0.1942,DRY-RUN模拟交易
2025-12-02 22:35:20,OPEN,XYZ_TO_FLX_20251202223520,XYZ_TO_FLX,100,0.2200,430.43,430.45,429.88,430.21,,,,,,,,,DRY-RUN模拟交易
2025-12-02 22:38:46,CLOSE,XYZ_TO_FLX_20251202223520,XYZ_TO_FLX,100,0.2200,430.43,430.45,429.88,430.21,-0.2700,432.85,432.92,433.10,433.12,reversal,206,0.1540,DRY-RUN模拟交易
2025-12-02 23:30:12,OPEN,XYZ_TO_FLX_20251202233012,XYZ_TO_FLX,100,0.3000,429.76,429.82,429.40,429.46,,,,,,,,,DRY-RUN模拟交易
2025-12-03 00:06:08,CLOSE,XYZ_TO_FLX_20251202233012,XYZ_TO_FLX,100,0.3000,429.76,429.82,429.40,429.46,-0.4600,427.76,427.83,428.00,428.22,reversal,2156,0.1443,DRY-RUN模拟交易
2025-12-03 00:23:22,OPEN,XYZ_TO_FLX_20251203002322,XYZ_TO_FLX,100,0.2100,424.38,424.44,424.11,424.17,,,,,,,,,DRY-RUN模拟交易
2025-12-03 00:23:44,CLOSE,XYZ_TO_FLX_20251203002322,XYZ_TO_FLX,100,0.2100,424.38,424.44,424.11,424.17,0.8800,423.88,423.97,422.99,423.00,take_profit,23,0.6446,DRY-RUN模拟交易
2025-12-03 00:23:51,OPEN,XYZ_TO_FLX_20251203002351,XYZ_TO_FLX,100,0.4000,423.88,423.89,423.43,423.48,,,,,,,,,DRY-RUN模拟交易
2025-12-03 00:48:07,CLOSE,XYZ_TO_FLX_20251203002351,XYZ_TO_FLX,100,0.4000,423.88,423.89,423.43,423.48,-0.5200,423.80,423.85,424.11,424.32,reversal,1456,0.2346,DRY-RUN模拟交易
2025-12-03 00:48:07,OPEN,FLX_TO_XYZ_20251203004807,FLX_TO_XYZ,100,0.2600,423.80,423.85,424.11,424.32,,,,,,,,,DRY-RUN模拟交易
2025-12-03 02:18:07,CLOSE,FLX_TO_XYZ_20251203004807,FLX_TO_XYZ,100,0.2600,423.80,423.85,424.11,424.32,0.0100,424.48,424.50,424.51,424.52,timeout,5400,-0.2755,DRY-RUN模拟交易
2025-12-03 04:23:20,OPEN,FLX_TO_XYZ_20251203042320,FLX_TO_XYZ,100,0.2100,430.28,430.31,430.52,430.53,,,,,,,,,DRY-RUN模拟交易
2025-12-03 05:53:21,CLOSE,FLX_TO_XYZ_20251203042320,FLX_TO_XYZ,100,0.2100,430.28,430.31,430.52,430.53,0.2500,428.47,428.48,428.73,428.74,timeout,5401,0.0143,DRY-RUN模拟交易
2025-12-03 05:53:21,OPEN,FLX_TO_XYZ_20251203055321,FLX_TO_XYZ,100,0.2500,428.47,428.48,428.73,428.74,,,,,,,,,DRY-RUN模拟交易
2025-12-03 07:23:22,CLOSE,FLX_TO_XYZ_20251203055321,FLX_TO_XYZ,100,0.2500,428.47,428.48,428.73,428.74,0.0600,428.42,428.46,428.52,428.54,timeout,5401,-0.2157,DRY-RUN模拟交易
2025-12-03 07:28:32,OPEN,FLX_TO_XYZ_20251203072832,FLX_TO_XYZ,100,0.2400,428.32,428.35,428.59,428.60,,,,,,,,,DRY-RUN模拟交易
2025-12-03 08:58:32,CLOSE,FLX_TO_XYZ_20251203072832,FLX_TO_XYZ,100,0.2400,428.32,428.35,428.59,428.60,0.0400,427.88,427.92,427.96,427.97,timeout,5401,-0.2257,DRY-RUN模拟交易
2025-12-03 09:01:11,OPEN,FLX_TO_XYZ_20251203090111,FLX_TO_XYZ,100,0.3400,427.75,427.89,428.23,428.35,,,,,,,,,DRY-RUN模拟交易
2025-12-03 09:57:40,CLOSE,FLX_TO_XYZ_20251203090111,FLX_TO_XYZ,100,0.3400,427.75,427.89,428.23,428.35,-0.2400,428.23,428.24,428.00,428.01,reversal,3389,0.1943,DRY-RUN模拟交易
2025-12-03 09:57:40,OPEN,XYZ_TO_FLX_20251203095740,XYZ_TO_FLX,100,0.2200,428.23,428.24,428.00,428.01,,,,,,,,,DRY-RUN模拟交易
2025-12-03 10:18:56,CLOSE,XYZ_TO_FLX_20251203095740,XYZ_TO_FLX,100,0.2200,428.23,428.24,428.00,428.01,-0.2500,427.94,427.99,428.15,428.19,reversal,1277,0.1343,DRY-RUN模拟交易
2025-12-03 10:20:52,OPEN,FLX_TO_XYZ_20251203102052,FLX_TO_XYZ,100,0.2300,427.94,427.96,428.19,428.20,,,,,,,,,DRY-RUN模拟交易
2025-12-03 10:27:51,OPEN,FLX_TO_XYZ_20251203102751,FLX_TO_XYZ,100,0.6100,427.95,427.96,428.57,428.58,,,,,,,,,DRY-RUN模拟交易
2025-12-03 10:27:53,CLOSE,FLX_TO_XYZ_20251203102052,FLX_TO_XYZ,100,0.2300,427.94,427.96,428.19,428.20,0.7700,427.96,427.97,428.74,428.94,take_profit,422,0.5143,DRY-RUN模拟交易
2025-12-03 10:28:24,OPEN,FLX_TO_XYZ_20251203102824,FLX_TO_XYZ,100,0.9400,427.96,427.97,428.91,429.13,,,,,,,,,DRY-RUN模拟交易
2025-12-03 15:17:40,OPEN,FLX_TO_XYZ_20251203151740,FLX_TO_XYZ,100,0.2200,429.27,429.28,429.50,429.59,,,,,,,,,DRY-RUN模拟交易
2025-12-03 16:24:51,CLOSE,FLX_TO_XYZ_20251203151740,FLX_TO_XYZ,100,0.2200,429.27,429.28,429.50,429.59,-0.1800,429.27,429.28,429.10,429.11,reversal,4031,0.1342,DRY-RUN模拟交易
